Group,Observations,Countries,Max,Mean,Median,Metastudies,Empirical,Species,Families,Min_mass,Max_mass,Min_value,Max_value,Year_start,Year_end
Total,2546,67,1071,1212,263,11,730,641,195,1.14e-7,4565000,0,11000000,1914,2022
Mammal,801,34,358,279,164,6,264,152,36,8,4565000,0,2000000,1935,2009
Bird,734,23,538,105,91,5,144,194,54,2.4,6900,0,11000000,1914,2015
Fish,602,22,174,420,8,1,144,80,24,220,816000,0.86,846512.84,1934,2012
Invertebrate,409,42,1,408,0,2,178,215,81,1.14e-7,707.3943662,0.002,53190,1946,2022
