Driver,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
BM,7.64,7.64,1.00,404.49,25.10,1.00E-04
MS,0.99,0.99,1.00,395.85,3.26,0.071894127
NDVImean,2.43,2.43,1.00,403.98,7.98,0.004971677
NDVIsd_mean,1.95,1.95,1.00,418.49,6.40,0.01177349
FSI,0.76,0.76,1.00,412.24,2.48,0.115923675
"poly(Temperature_mean, 2, raw = TRUE)",6.08,3.04,2.00,175.85,9.99,7.79E-05
MS:NDVImean,8.38,8.38,1.00,410.26,27.54,2.48E-07
MS:NDVIsd_mean,0.02,0.02,1.00,399.50,0.07,0.792289932
MS:FSI,1.32,1.32,1.00,405.53,4.32,0.038187346
